gene,baseMean,resistant_vs_sensitive_log2FC,log2FC_SE,wald_statistic,wald_p_value,BH_FDR,absolute_log2FC,direction,significance,nominal_p_lt_0.05,BH_FDR_lt_0.05,absolute_change_rank
RAD51C,672.5280075765984,9.241384816960972,1.306393101391333,7.0739693949078,1.50563506232229e-12,6.132222273696745e-11,9.241384816960972,Higher in resistant,***,True,True,1
XRCC2,1437.1398584586955,0.5069198395529152,0.13959657883063,3.6313199349100946,0.000281975364037725,0.0021613815814275138,0.5069198395529152,Higher in resistant,**,True,True,2
BARD1,3643.2196597645952,0.46868018338380163,0.15832033821620228,2.960328335982784,0.003073113319319469,0.01627409320936975,0.46868018338380163,Higher in resistant,*,True,True,3
RAD51B,261.05410724738715,-0.46159706190858857,0.12589851850593137,-3.666421713189911,0.00024596817355481483,0.0019188637640957012,0.46159706190858857,Lower in resistant,**,True,True,4
BRCA1,2263.594619377001,0.28114474946606144,0.12219878052221489,2.30071649049682,0.021407661368203136,0.07897847475371883,0.28114474946606144,Higher in resistant,ns,True,False,5
BLM,1250.0676071413975,0.2239072026179236,0.12143628461210937,1.8438245482651736,0.06520871392866247,0.18317612240922998,0.2239072026179236,Higher in resistant,ns,False,False,6
XRCC3,3748.6605376039247,0.21223107697482055,0.09089031775504074,2.335024040149208,0.019542164911407013,0.07343237120477789,0.21223107697482055,Higher in resistant,ns,True,False,7
TOP3A,1961.116332034122,-0.19641964612764318,0.08909046349019142,-2.2047213409016373,0.027473654647552224,0.09570610573958958,0.19641964612764318,Lower in resistant,ns,True,False,8
BRCA2,2491.3898720414472,0.19429240549162663,0.16987772084838687,1.1437191676537115,0.25274012160607506,0.4663521595791664,0.19429240549162663,Higher in resistant,ns,False,False,9
BRIP1,1423.295403830153,-0.15585087540957293,0.1855719236124019,-0.8398408141475843,0.40099764602510246,0.6219238877911181,0.15585087540957293,Lower in resistant,ns,False,False,10
RMI2,2634.3243318634704,-0.08652761173752305,0.07910395308512723,-1.093846873169624,0.27402214244931833,0.49046454483798246,0.08652761173752305,Lower in resistant,ns,False,False,11
RMI1,5478.592125147145,0.033721692428839746,0.11310547013351582,0.2981437802171092,0.7655934283253364,0.8820531255527948,0.033721692428839746,Higher in resistant,ns,False,False,12
RAD51D,688.5514525013224,0.02722869116578431,0.09903574392131263,0.27493801821106584,0.7833638579473567,0.8920419846870504,0.02722869116578431,Higher in resistant,ns,False,False,13
PALB2,1692.442930053949,-0.02602704631641999,0.09169888148983267,-0.28383166613985145,0.776539385984917,0.888395341441168,0.02602704631641999,Lower in resistant,ns,False,False,14
RAD51,1363.2985975654385,0.013579013696347174,0.08597256240111198,0.15794589944863083,0.8744994294430769,0.9396506777459301,0.013579013696347174,Higher in resistant,ns,False,False,15
